ProductID;Weight;FatContent;ProductVisibility;ProductType;MRP;OutletID;EstablishmentYear;OutletSize;LocationType;OutletType;OutletSales
DRJ59;11.65;low fat;0.019356132;Hard Drinks;391.164;OUT013;1987;High;Tier 3;Supermarket Type1;3.089.312
FDE51;5.925;Regular;0.161466534;Dairy;455.086;OUT010;1998;;Tier 3;Grocery Store;1.784.344
FDC14;;Regular;0.072221801;Canned;436.454;OUT019;1985;Small;Tier 1;Grocery Store;1.258.362
FDV38;19.25;Low Fat;0.170348551;Dairy;557.956;OUT010;1998;;Tier 3;Grocery Store;1.637.868
NCS17;18.6;Low Fat;0.080829372;Health and Hygiene;964.436;OUT018;2009;Medium;Tier 3;Supermarket Type2;27.417.644
FDP33;18.7;Low Fat;0;Snack Foods;2.566.672;OUT018;2009;Medium;Tier 3;Supermarket Type2;30.680.064
FDO23;17.85;Low Fat;0;Breads;931.436;OUT045;2002;;Tier 2;Supermarket Type1;21.745.028
DRH01;17.5;Low Fat;0.097904029;Soft Drinks;1.748.738;OUT046;1997;Small;Tier 1;Supermarket Type1;20.852.856
NCX29;10;Low Fat;0.089291137;Health and Hygiene;1.467.102;OUT049;1999;Medium;Tier 1;Supermarket Type1;37.910.652
FDV20;;Regular;0.059511812;Fruits and Vegetables;1.280.678;OUT027;1985;Medium;Tier 3;Supermarket Type3;27.976.916
DRZ11;8.85;Regular;0.113123893;Soft Drinks;1.225.388;OUT018;2009;Medium;Tier 3;Supermarket Type2;16.099.044
FDX10;;Regular;0.123111453;Snack Foods;369.874;OUT027;1985;Medium;Tier 3;Supermarket Type3;3.881.614
FDB34;;Low Fat;0.026480954;Snack Foods;876.198;OUT027;1985;Medium;Tier 3;Supermarket Type3;2.180.495
FDU02;13.35;Low Fat;0.102511504;Dairy;2.306.352;OUT046;1997;Small;Tier 1;Supermarket Type1;3.435.528
FDK43;9.8;Low Fat;0.02681843;Meat;126.002;OUT013;1987;High;Tier 3;Supermarket Type1;2.150.534
FDA46;13.6;Low Fat;0.117818348;Snack Foods;1.929.136;OUT049;1999;Medium;Tier 1;Supermarket Type1;25.273.768
FDC02;21.35;Low Fat;0.069102831;Canned;2.599.278;OUT018;2009;Medium;Tier 3;Supermarket Type2;67.685.228
FDL50;12.15;Regular;0.042277867;Canned;1.265.046;OUT013;1987;High;Tier 3;Supermarket Type1;3.735.138
FDM39;6.42;LF;0.089498926;Dairy;1.781.002;OUT010;1998;;Tier 3;Grocery Store;3.582.004
NCP05;19.6;Low Fat;0;Health and Hygiene;1.533.024;OUT045;2002;;Tier 2;Supermarket Type1;24.288.384
FDV49;10;Low Fat;0.025879577;Canned;2.652.226;OUT045;2002;;Tier 2;Supermarket Type1;58.150.972
FDL12;15.85;Regular;0.121632721;Baking Goods;60.622;OUT046;1997;Small;Tier 1;Supermarket Type1;2.576.646
FDS02;;Regular;0.255394896;Dairy;1.968.794;OUT019;1985;Small;Tier 1;Grocery Store;7.803.176
NCL17;7.39;Low Fat;0.067779712;Health and Hygiene;1.438.812;OUT046;1997;Small;Tier 1;Supermarket Type1;31.345.864
FDM40;10.195;Low Fat;0.159803853;Frozen Foods;1.415.154;OUT013;1987;High;Tier 3;Supermarket Type1;8.508.924
FDR13;9.895;Regular;0.028696932;Canned;1.170.492;OUT013;1987;High;Tier 3;Supermarket Type1;8.109.444
FDA43;10.895;Low Fat;0.065041581;Fruits and Vegetables;1.963.794;OUT017;2007;;Tier 2;Supermarket Type1;31.212.704
NCP18;12.15;Low Fat;0.028760013;Household;1.514.708;OUT017;2007;;Tier 2;Supermarket Type1;48.150.656
FDK21;7.905;Low Fat;0.010053105;Snack Foods;2.490.408;OUT018;2009;Medium;Tier 3;Supermarket Type2;6258.52
NCX54;9.195;Low Fat;0.048157338;Household;1.061.622;OUT045;2002;;Tier 2;Supermarket Type1;2.117.244
DRK35;8.365;Low Fat;0.071958197;Hard Drinks;380.506;OUT049;1999;Medium;Tier 1;Supermarket Type1;7.969.626
FDY21;15.1;Low Fat;0.173481304;Snack Foods;194.511;OUT046;1997;Small;Tier 1;Supermarket Type1;4.910.275
FDI26;;Low Fat;0.061082177;Canned;1.800.344;OUT019;1985;Small;Tier 1;Grocery Store;892.172
FDM20;10;Low Fat;0;Fruits and Vegetables;2.469.144;OUT018;2009;Medium;Tier 3;Supermarket Type2;31.851.872
FDV27;7.97;Regular;0.040071131;Meat;873.514;OUT045;2002;;Tier 2;Supermarket Type1;10.626.168
FDF09;;Low Fat;0.012090074;Fruits and Vegetables;382.848;OUT027;1985;Medium;Tier 3;Supermarket Type3;4.847.024
FDY40;;Regular;0.15028599;Frozen Foods;510.692;OUT019;1985;Small;Tier 1;Grocery Store;1.478.076
FDY45;;Low Fat;0.026015519;Snack Foods;2.558.356;OUT027;1985;Medium;Tier 3;Supermarket Type3;2.543.356
FDC46;17.7;LF;0.195068226;Snack Foods;1.854.266;OUT010;1998;;Tier 3;Grocery Store;1.844.266
FDH19;19.35;Low Fat;0.033082215;Meat;1.725.738;OUT035;2004;Small;Tier 2;Supermarket Type1;48.656.664
FDZ03;13.65;Regular;0.078946455;Dairy;186.024;OUT045;2002;;Tier 2;Supermarket Type1;1.118.544
DRH37;17.6;Low Fat;0.041700756;Soft Drinks;1.648.526;OUT045;2002;;Tier 2;Supermarket Type1;23.023.364
NCI17;8.645;Low Fat;0.143422643;Health and Hygiene;95.841;OUT046;1997;Small;Tier 1;Supermarket Type1;2.027.361
FDJ58;15.6;Regular;0.105296072;Snack Foods;1.701.764;OUT046;1997;Small;Tier 1;Supermarket Type1;3.435.528
FDL12;15.85;Regular;0.121531501;Baking Goods;59.222;OUT013;1987;High;Tier 3;Supermarket Type1;599.22
FDH35;18.25;Low Fat;0;Starchy Foods;1.647.526;OUT045;2002;;Tier 2;Supermarket Type1;46.046.728
FDG02;7.855;Low Fat;0.011324862;Canned;1.896.188;OUT017;2007;;Tier 2;Supermarket Type1;22.850.256
NCZ18;7.825;low fat;0.186357148;Household;2.543.698;OUT049;1999;Medium;Tier 1;Supermarket Type1;55.807.356
FDC29;8.39;Regular;0.024205661;Frozen Foods;1.140.176;OUT046;1997;Small;Tier 1;Supermarket Type1;2.290.352
FDQ10;12.85;Low Fat;0.033230816;Snack Foods;1.723.422;OUT049;1999;Medium;Tier 1;Supermarket Type1;12.070.954
FDN48;;Low Fat;0.113720344;Baking Goods;899.804;OUT019;1985;Small;Tier 1;Grocery Store;6.431.628
FDL04;19;Low Fat;0.112556507;Frozen Foods;1.049.622;OUT017;2007;;Tier 2;Supermarket Type1;1.587.933
FDV25;5.905;Low Fat;0;Canned;2.225.456;OUT045;2002;;Tier 2;Supermarket Type1;53.050.944
FDD58;7.76;Low Fat;0.059352241;Snack Foods;101.87;OUT046;1997;Small;Tier 1;Supermarket Type1;1697.79
FDN04;11.8;reg;0.014087057;Frozen Foods;1.803.344;OUT046;1997;Small;Tier 1;Supermarket Type1;14.274.752
FDV45;16.75;low fat;0.045230944;Snack Foods;1.879.556;OUT018;2009;Medium;Tier 3;Supermarket Type2;4693.89
NCL18;;Low Fat;0.293417759;Household;1.946.136;OUT019;1985;Small;Tier 1;Grocery Store;5.832.408
FDR12;;Regular;0.031382044;Baking Goods;1.713.764;OUT027;1985;Medium;Tier 3;Supermarket Type3;30.919.752
FDG20;15.5;Regular;0.12639886;Fruits and Vegetables;1.770.028;OUT017;2007;;Tier 2;Supermarket Type1;24.794.392
FDZ55;6.055;Low Fat;0.025403898;Fruits and Vegetables;160.992;OUT035;2004;Small;Tier 2;Supermarket Type1;2.716.464
FDQ49;;Regular;0.039057677;Breakfast;155.963;OUT027;1985;Medium;Tier 3;Supermarket Type3;3.285.723
FDN33;6.305;Regular;0.123115764;Snack Foods;956.436;OUT046;1997;Small;Tier 1;Supermarket Type1;6.618.052
FDN27;20.85;Low Fat;0.039624006;Meat;1.172.808;OUT049;1999;Medium;Tier 1;Supermarket Type1;15.233.504
FDW20;20.75;Low Fat;0.040421193;Fruits and Vegetables;122.173;OUT010;1998;;Tier 3;Grocery Store;369.519
DRG27;8.895;Low Fat;0.105274111;Dairy;399.138;OUT049;1999;Medium;Tier 1;Supermarket Type1;6.904.346
DRI25;19.6;Low Fat;0.033970195;Soft Drinks;551.614;OUT045;2002;;Tier 2;Supermarket Type1;1.381.535
FDA44;19.7;Low Fat;0.053212652;Fruits and Vegetables;57.893;OUT035;2004;Small;Tier 2;Supermarket Type1;622.523
NCR17;9.8;Low Fat;0.024378706;Health and Hygiene;1.145.492;OUT035;2004;Small;Tier 2;Supermarket Type1;12.743.412
FDU04;;Low Fat;0.009714595;Frozen Foods;1.200.414;OUT019;1985;Small;Tier 1;Grocery Store;4.873.656
FDF41;12.15;Low Fat;0.131383762;Frozen Foods;246.046;OUT049;1999;Medium;Tier 1;Supermarket Type1;1231.73
FDB56;8.75;Regular;0.07461309;Fruits and Vegetables;1.874.556;OUT035;2004;Small;Tier 2;Supermarket Type1;3.755.112
NCP18;;Low Fat;0.028459761;Household;1.499.708;OUT027;1985;Medium;Tier 3;Supermarket Type3;43.636.532
FDB56;8.75;Regular;0.074627201;Fruits and Vegetables;1.878.556;OUT046;1997;Small;Tier 1;Supermarket Type1;13.142.892
FDT28;13.3;Low Fat;0.063695084;Frozen Foods;1.510.708;OUT045;2002;;Tier 2;Supermarket Type1;18.056.496
FDD10;;Regular;0.045797829;Snack Foods;1.785.344;OUT027;1985;Medium;Tier 3;Supermarket Type3;28.549.504
FDW57;8.31;Regular;0.115857223;Snack Foods;1.791.028;OUT049;1999;Medium;Tier 1;Supermarket Type1;38.962.616
DRB48;16.75;Regular;0.024832806;Soft Drinks;387.822;OUT013;1987;High;Tier 3;Supermarket Type1;6.677.974
FDP09;19.75;Low Fat;0.034027909;Snack Foods;2.120.902;OUT018;2009;Medium;Tier 3;Supermarket Type2;3.185.853
FDH14;17.1;Regular;0.0467696;Canned;1.411.838;OUT013;1987;High;Tier 3;Supermarket Type1;22.477.408
FDA47;10.5;Regular;0.116576702;Baking Goods;163.121;OUT013;1987;High;Tier 3;Supermarket Type1;1.794.331
FDG12;6.635;Regular;0;Baking Goods;1.213.098;OUT045;2002;;Tier 2;Supermarket Type1;25.307.058
DRE60;;low fat;0.278974075;Soft Drinks;225.372;OUT019;1985;Small;Tier 1;Grocery Store;679.116
DRK49;14.15;Low Fat;0.035913805;Soft Drinks;414.138;OUT013;1987;High;Tier 3;Supermarket Type1;812.276
FDD03;13.3;Low Fat;0.079806266;Dairy;232.53;OUT046;1997;Small;Tier 1;Supermarket Type1;699.09
FDS52;8.89;low fat;0.005505481;Frozen Foods;1.024.016;OUT017;2007;;Tier 2;Supermarket Type1;27.324.432
FDW39;;Regular;0.064625342;Meat;176.937;OUT019;1985;Small;Tier 1;Grocery Store;176.437
FDX34;;Low Fat;0.071636937;Snack Foods;1.217.098;OUT027;1985;Medium;Tier 3;Supermarket Type3;40.973.332
FDV11;9.1;Regular;0;Breads;1.732.054;OUT045;2002;;Tier 2;Supermarket Type1;31.518.972
FDD17;7.5;Low Fat;0.032677678;Frozen Foods;2.390.906;OUT049;1999;Medium;Tier 1;Supermarket Type1;5.942.265
FDZ16;16.85;Regular;0.160760054;Frozen Foods;1.924.478;OUT017;2007;;Tier 2;Supermarket Type1;4.843.695
FDZ46;7.485;Low Fat;0.06911065;Snack Foods;1.090.228;OUT035;2004;Small;Tier 2;Supermarket Type1;25.420.244
DRA12;11.6;Low Fat;0.041177505;Soft Drinks;1.403.154;OUT017;2007;;Tier 2;Supermarket Type1;25.526.772
FDY58;11.65;Low Fat;0.040081193;Snack Foods;2.270.694;OUT018;2009;Medium;Tier 3;Supermarket Type2;1.141.847
NCF19;13;Low Fat;0.035307322;Household;475.034;OUT017;2007;;Tier 2;Supermarket Type1;6.804.476
DRJ13;12.65;LF;0.063017847;Soft Drinks;1.590.578;OUT045;2002;;Tier 2;Supermarket Type1;20.859.514
FDB14;20.25;Regular;0.171938781;Canned;92.512;OUT010;1998;;Tier 3;Grocery Store;186.424
FDJ38;8.6;Regular;0.040197932;Canned;190.153;OUT035;2004;Small;Tier 2;Supermarket Type1;3.036.048
FDW11;12.6;Low Fat;0.049058014;Breads;627.194;OUT017;2007;;Tier 2;Supermarket Type1;8.668.716
FDL40;17.7;Low Fat;0.01161096;Frozen Foods;95.041;OUT035;2004;Small;Tier 2;Supermarket Type1;868.869
DRI49;14.15;Low Fat;0.183507295;Soft Drinks;824.276;OUT046;1997;Small;Tier 1;Supermarket Type1;11.371.864
FDV38;19.25;Low Fat;0.102349519;Dairy;527.956;OUT017;2007;;Tier 2;Supermarket Type1;9.281.252
DRG23;8.88;Low Fat;0.086708987;Hard Drinks;1.517.682;OUT013;1987;High;Tier 3;Supermarket Type1;762.341
NCP30;20.5;Low Fat;0.032835147;Household;402.822;OUT045;2002;;Tier 2;Supermarket Type1;7.070.796
FDY25;;Low Fat;0.033809913;Canned;1.805.976;OUT027;1985;Medium;Tier 3;Supermarket Type3;79.682.944
NCH54;13.5;Low Fat;0.07266912;Household;160.292;OUT046;1997;Small;Tier 1;Supermarket Type1;1.438.128
NCR53;;Low Fat;0.144338493;Health and Hygiene;2.244.404;OUT027;1985;Medium;Tier 3;Supermarket Type3;69.762.524
FDS52;8.89;Low Fat;0.009163216;Frozen Foods;1.017.016;OUT010;1998;;Tier 3;Grocery Store;1.012.016
FDG02;7.855;Low Fat;0.011307038;Canned;1.885.188;OUT018;2009;Medium;Tier 3;Supermarket Type2;952.094
NCO26;7.235;Low Fat;0.076855628;Household;1.160.492;OUT046;1997;Small;Tier 1;Supermarket Type1;19.694.364
FDH35;;Low Fat;0.059956876;Starchy Foods;1.654.526;OUT027;1985;Medium;Tier 3;Supermarket Type3;52.624.832
FDB51;6.92;Low Fat;0.038532062;Dairy;605.852;OUT045;2002;;Tier 2;Supermarket Type1;13.142.892
FDX44;9.3;Low Fat;0.043209581;Fruits and Vegetables;908.172;OUT017;2007;;Tier 2;Supermarket Type1;5.353.032
NCN07;18.5;Low Fat;0.056816465;Others;1.321.284;OUT010;1998;;Tier 3;Grocery Store;2.636.568
NCC31;8.02;Low Fat;0.019866705;Household;1.545.972;OUT035;2004;Small;Tier 2;Supermarket Type1;14.021.748
NCX54;9.195;Low Fat;0.048331717;Household;1.051.622;OUT017;2007;;Tier 2;Supermarket Type1;16.937.952
NCO55;12.8;Low Fat;0.091221855;Others;1.055.938;OUT045;2002;;Tier 2;Supermarket Type1;2.143.876
NCC30;16.6;Low Fat;0.027622076;Household;1.776.344;OUT049;1999;Medium;Tier 1;Supermarket Type1;2.676.516
FDI16;14;Regular;0;Frozen Foods;53.064;OUT035;2004;Small;Tier 2;Supermarket Type1;905.488
FDP16;18.6;Low Fat;0.039355947;Frozen Foods;2.463.802;OUT049;1999;Medium;Tier 1;Supermarket Type1;7.370.406
FDB11;16;Low Fat;0.060836524;Starchy Foods;2.268.404;OUT035;2004;Small;Tier 2;Supermarket Type1;63.011.312
NCB06;17.6;Low Fat;0.082316506;Health and Hygiene;160.692;OUT035;2004;Small;Tier 2;Supermarket Type1;1597.92
FDA45;21.25;Low Fat;0.155350299;Snack Foods;178.237;OUT035;2004;Small;Tier 2;Supermarket Type1;529.311
NCO26;7.235;Low Fat;0.076841095;Household;1.175.492;OUT035;2004;Small;Tier 2;Supermarket Type1;19.694.364
DRJ25;14.6;Low Fat;0.151419185;Soft Drinks;503.692;OUT017;2007;;Tier 2;Supermarket Type1;10.346.532
FDR28;13.85;reg;0.026001976;Frozen Foods;161.521;OUT018;2009;Medium;Tier 3;Supermarket Type2;1.794.331
FDI04;13.65;Regular;0.073209447;Frozen Foods;1.976.426;OUT018;2009;Medium;Tier 3;Supermarket Type2;27.683.964
DRK12;;Low Fat;0.041683481;Soft Drinks;31.29;OUT027;1985;Medium;Tier 3;Supermarket Type3;898.83
FDX20;7.365;Low Fat;0.042560252;Fruits and Vegetables;226.172;OUT046;1997;Small;Tier 1;Supermarket Type1;3.169.208
NCI18;18.35;Low Fat;0.014081156;Household;2.235.746;OUT018;2009;Medium;Tier 3;Supermarket Type2;35.899.936
FDB36;5.465;Regular;0;Baking Goods;1.325.626;OUT018;2009;Medium;Tier 3;Supermarket Type2;2.623.252
FDN13;18.6;Low Fat;0.152918384;Breakfast;998.358;OUT017;2007;;Tier 2;Supermarket Type1;19.101.802
DRD24;13.85;Low Fat;0.030969274;Soft Drinks;1.409.154;OUT017;2007;;Tier 2;Supermarket Type1;17.017.848
FDQ28;14;Regular;0.060376776;Frozen Foods;1.545.656;OUT013;1987;High;Tier 3;Supermarket Type1;24.714.496
FDM22;14;Regular;0.04192285;Snack Foods;54.764;OUT013;1987;High;Tier 3;Supermarket Type1;1331.6
FDR07;;Low Fat;0.077367431;Fruits and Vegetables;970.094;OUT027;1985;Medium;Tier 3;Supermarket Type3;18.089.786
FDV25;5.905;Low Fat;0.045838211;Canned;2.225.456;OUT018;2009;Medium;Tier 3;Supermarket Type2;3.315.684
DRF49;7.27;Low Fat;0.071077939;Soft Drinks;1.142.518;OUT046;1997;Small;Tier 1;Supermarket Type1;26.185.914
FDW51;6.155;Regular;0.094659871;Meat;214.556;OUT046;1997;Small;Tier 1;Supermarket Type1;2.769.728
DRL01;19.5;Regular;0.077608838;Soft Drinks;2.334.958;OUT017;2007;;Tier 2;Supermarket Type1;53.750.034
FDP25;15.2;Low Fat;0.021327477;Canned;2.168.824;OUT017;2007;;Tier 2;Supermarket Type1;28.389.712
FDL50;12.15;Regular;0.042485444;Canned;1.250.046;OUT018;2009;Medium;Tier 3;Supermarket Type2;17.430.644
NCB30;;Low Fat;0.025578526;Household;1.988.084;OUT027;1985;Medium;Tier 3;Supermarket Type3;55.554.352
FDW11;12.6;Low Fat;0.0489808;Breads;619.194;OUT018;2009;Medium;Tier 3;Supermarket Type2;619.194
NCM43;14.5;Low Fat;0.019471688;Others;164.821;OUT035;2004;Small;Tier 2;Supermarket Type1;2.120.573
FDK44;16.6;Low Fat;0.122918852;Fruits and Vegetables;1.730.738;OUT017;2007;;Tier 2;Supermarket Type1;38.230.236
FDM15;11.8;Regular;0.057373797;Meat;1.514.366;OUT013;1987;High;Tier 3;Supermarket Type1;13.602.294
FDS31;13.1;Regular;0.044155597;Fruits and Vegetables;1.788.318;OUT013;1987;High;Tier 3;Supermarket Type1;39.694.996
FDI32;17.7;Low Fat;0.291865402;Fruits and Vegetables;1.151.834;OUT010;1998;;Tier 3;Grocery Store;3.455.502
FDR47;17.85;LF;0;Breads;1.965.794;OUT010;1998;;Tier 3;Grocery Store;5.852.382
FDB35;12.3;Regular;0.064750025;Starchy Foods;926.804;OUT045;2002;;Tier 2;Supermarket Type1;10.106.844
NCU05;11.8;Low Fat;0.098312421;Health and Hygiene;814.618;OUT010;1998;;Tier 3;Grocery Store;1.611.236
DRY23;;Regular;0.191013663;Soft Drinks;421.112;OUT019;1985;Small;Tier 1;Grocery Store;426.112
FDO24;11.1;Low Fat;0.176573035;Baking Goods;1.574.604;OUT045;2002;;Tier 2;Supermarket Type1;30.107.476
FDQ28;;Regular;0.060134441;Frozen Foods;1.530.656;OUT027;1985;Medium;Tier 3;Supermarket Type3;60.241.584
FDV39;11.3;Low Fat;0.007294652;Meat;1.981.426;OUT045;2002;;Tier 2;Supermarket Type1;988.713
NCO17;;Low Fat;0.128478462;Health and Hygiene;117.944;OUT019;1985;Small;Tier 1;Grocery Store;239.688
FDU50;5.75;Regular;0.075107656;Dairy;1.128.176;OUT013;1987;High;Tier 3;Supermarket Type1;13.742.112
FDT12;;Regular;0.049381406;Baking Goods;2.268.062;OUT027;1985;Medium;Tier 3;Supermarket Type3;47.398.302
FDK58;11.35;Regular;0.045165796;Snack Foods;1.000.016;OUT018;2009;Medium;Tier 3;Supermarket Type2;1.012.016
FDO08;;Regular;0.09415375;Fruits and Vegetables;1.657.526;OUT019;1985;Small;Tier 1;Grocery Store;6.578.104
NCW29;14;Low Fat;0.028907832;Health and Hygiene;130.431;OUT049;1999;Medium;Tier 1;Supermarket Type1;778.986
FDE04;19.75;Regular;0.018059621;Frozen Foods;179.766;OUT045;2002;;Tier 2;Supermarket Type1;2.336.958
NCB19;6.525;Low Fat;0.090436094;Household;850.882;OUT049;1999;Medium;Tier 1;Supermarket Type1;22.330.932
FDV15;10.3;Low Fat;0.146399712;Meat;1.039.648;OUT049;1999;Medium;Tier 1;Supermarket Type1;16.618.368
FDL58;5.78;Regular;0.074264356;Snack Foods;2.647.568;OUT049;1999;Medium;Tier 1;Supermarket Type1;47.458.224
FDA08;11.85;Regular;0.050186726;Fruits and Vegetables;1.641.526;OUT045;2002;;Tier 2;Supermarket Type1;31.245.994
FDT43;16.35;Low Fat;0.020631654;Fruits and Vegetables;501.324;OUT018;2009;Medium;Tier 3;Supermarket Type2;4.673.916
NCX06;;Low Fat;0.01561108;Household;1.825.976;OUT027;1985;Medium;Tier 3;Supermarket Type3;50.707.328
FDT20;10.5;Low Fat;0.041395445;Fruits and Vegetables;376.164;OUT046;1997;Small;Tier 1;Supermarket Type1;5.406.296
FDB41;19;Regular;0.097313129;Frozen Foods;480.718;OUT046;1997;Small;Tier 1;Supermarket Type1;9.927.078
NCN55;14.6;Low Fat;0.059582996;Others;2.388.538;OUT049;1999;Medium;Tier 1;Supermarket Type1;6.008.845
FDE40;;Regular;0.098663652;Dairy;629.194;OUT027;1985;Medium;Tier 3;Supermarket Type3;21.052.596
FDX49;;reg;0.101338651;Canned;232.63;OUT027;1985;Medium;Tier 3;Supermarket Type3;5359.69
NCM53;18.75;Low Fat;0.052146456;Health and Hygiene;104.628;OUT045;2002;;Tier 2;Supermarket Type1;745.696
FDE36;5.26;Regular;0.041764487;Baking Goods;1.618.868;OUT035;2004;Small;Tier 2;Supermarket Type1;3.275.736
FDN57;18.25;Low Fat;0.054344186;Snack Foods;1.402.154;OUT045;2002;;Tier 2;Supermarket Type1;17.017.848
FDI24;;Low Fat;0.078362484;Baking Goods;177.937;OUT027;1985;Medium;Tier 3;Supermarket Type3;6.704.606
FDI19;15.1;Low Fat;0.052339069;Meat;2.427.512;OUT046;1997;Small;Tier 1;Supermarket Type1;41.199.704
FDF24;15.5;Regular;0.042464962;Baking Goods;815.934;OUT010;1998;;Tier 3;Grocery Store;3.275.736
FDG52;13.65;Low Fat;0.065732883;Frozen Foods;457.402;OUT049;1999;Medium;Tier 1;Supermarket Type1;7.809.834
DRF36;16.1;LF;0.023625114;Soft Drinks;1.893.846;OUT045;2002;;Tier 2;Supermarket Type1;36.306.074
FDS45;;Regular;0.051643608;Snack Foods;1.073.622;OUT019;1985;Small;Tier 1;Grocery Store;3.175.866
FDX40;12.85;Low Fat;0.165694219;Frozen Foods;397.164;OUT010;1998;;Tier 3;Grocery Store;2.316.984
DRK12;9.5;LF;0.041878397;Soft Drinks;32.99;OUT035;2004;Small;Tier 2;Supermarket Type1;133.16
DRC27;13.8;Low Fat;0.058091482;Dairy;2.451.802;OUT035;2004;Small;Tier 2;Supermarket Type1;56.506.446
FDL58;5.78;Regular;0;Snack Foods;2.637.568;OUT017;2007;;Tier 2;Supermarket Type1;2.636.568
NCD30;19.7;Low Fat;0.026903714;Household;960.726;OUT045;2002;;Tier 2;Supermarket Type1;12.723.438
NCZ54;14.65;Low Fat;0;Household;1.615.552;OUT010;1998;;Tier 3;Grocery Store;3.249.104
FDE10;6.67;Regular;0.150554711;Snack Foods;1.300.626;OUT010;1998;;Tier 3;Grocery Store;1.311.626
FDR44;6.11;Regular;0;Fruits and Vegetables;1.312.968;OUT010;1998;;Tier 3;Grocery Store;2.609.936
FDP28;13.65;Regular;0.134975628;Frozen Foods;2.600.936;OUT010;1998;;Tier 3;Grocery Store;2.609.936
FDX15;17.2;Low Fat;0.15616879;Meat;1.606.578;OUT013;1987;High;Tier 3;Supermarket Type1;36.905.294
FDA39;6.32;LF;0;Meat;402.822;OUT035;2004;Small;Tier 2;Supermarket Type1;11.391.838
FDY24;4.88;Regular;0.133700752;Baking Goods;529.298;OUT049;1999;Medium;Tier 1;Supermarket Type1;19.954.026
FDC60;5.425;Regular;0.115119905;Baking Goods;883.514;OUT017;2007;;Tier 2;Supermarket Type1;14.168.224
FDH28;15.85;Regular;0.110030997;Frozen Foods;372.506;OUT046;1997;Small;Tier 1;Supermarket Type1;2.656.542
